method,seed,step,train_loss,test_rmse,grad_norm
spgd,0,810,0.7152698040008545,0.94708651304245,0.004722540732473135
spgd,0,840,0.7083873152732849,0.9464282989501953,0.004457380156964064
spgd,0,870,0.7022143602371216,0.9459789991378784,0.004215459804981947
spgd,0,900,0.6966553330421448,0.945694088935852,0.003994784317910671
spgd,0,930,0.6916282773017883,0.9455373883247375,0.0037935487926006317
spgd,0,960,0.6870635747909546,0.9454802870750427,0.003609967418015003
spgd,0,990,0.6829014420509338,0.9455004930496216,0.0034422806929796934
spgd,0,1020,0.6790913939476013,0.945580780506134,0.003288811072707176
spgd,0,1050,0.6755905151367188,0.9457082152366638,0.0031480088364332914
spgd,0,1080,0.672362208366394,0.9458729028701782,0.0030184739734977484
spgd,0,1110,0.6693753600120544,0.9460670948028564,0.0028989610727876425
spgd,0,1140,0.6666034460067749,0.9462851881980896,0.0027883730363100767
spgd,0,1170,0.6640236377716064,0.9465224742889404,0.0026857485063374043
spgd,0,1200,0.6616160869598389,0.9467757344245911,0.0025902476627379656
spgd,0,1230,0.6593639254570007,0.947041928768158,0.0025011389516294003
spgd,0,1260,0.657252311706543,0.9473189115524292,0.0024177844170480967
spgd,0,1290,0.6552683711051941,0.9476047158241272,0.0023396278265863657
spgd,0,1320,0.6534005403518677,0.9478978514671326,0.0022661834955215454
spgd,0,1350,0.651638925075531,0.9481970071792603,0.002197025343775749
spgd,0,1380,0.6499747633934021,0.9485011100769043,0.002131779445335269
spgd,0,1410,0.6484000086784363,0.9488090872764587,0.002070116112008691
spgd,0,1440,0.64690762758255,0.9491201043128967,0.002011742675676942
spgd,0,1470,0.645491361618042,0.9494333267211914,0.0019563997630029917
spgd,0,1500,0.644145667552948,0.9497478604316711,0.001903855474665761
sgd,1,1,1.2668359279632568,1.126183032989502,0.0002502802526578307
sgd,1,30,1.266817331314087,1.1261829137802124,0.00025909862597472966
sgd,1,60,1.2667946815490723,1.1261818408966064,0.00029480759985744953
sgd,1,90,1.2667618989944458,1.1261786222457886,0.00036890478804707527
sgd,1,120,1.2667053937911987,1.1261690855026245,0.0005029457388445735
sgd,1,150,1.2665921449661255,1.1261433362960815,0.0007335417321883142
sgd,1,180,1.2663378715515137,1.1260735988616943,0.0011215893318876624
sgd,1,210,1.2657220363616943,1.1258848905563354,0.0017677752766758204
sgd,1,240,1.264159917831421,1.1253718137741089,0.002835183870047331
sgd,1,270,1.2601114511489868,1.1239805221557617,0.004570059012621641
sgd,1,300,1.2497175931930542,1.120295524597168,0.007262041326612234
sgd,1,330,1.2248049974441528,1.111271858215332,0.010921449400484562
sgd,1,360,1.175225853919983,1.0931193828582764,0.014399836771190166
sgd,1,390,1.1047818660736084,1.0675450563430786,0.01555588562041521
sgd,1,420,1.0344072580337524,1.042649269104004,0.014589923433959484
sgd,1,450,0.9753453135490417,1.0217658281326294,0.01308211125433445
sgd,1,480,0.9285173416137695,1.0047038793563843,0.011546451598405838
sgd,1,510,0.8917027115821838,0.9908856749534607,0.010274405591189861
sgd,1,540,0.8619614839553833,0.9795147776603699,0.009289520792663097
sgd,1,570,0.8373042941093445,0.9701325297355652,0.00847264938056469
sgd,1,600,0.8166199922561646,0.962525486946106,0.007755798287689686
sgd,1,630,0.7991259098052979,0.9564825892448425,0.007137346547096968
sgd,1,660,0.7841172218322754,0.9517363905906677,0.006629719398915768
sgd,1,690,0.7709735035896301,0.9480098485946655,0.006228344514966011
sgd,1,720,0.7592152953147888,0.9450729489326477,0.005909893196076155
sgd,1,750,0.7485247254371643,0.942766547203064,0.005642572417855263
sgd,1,780,0.7387255430221558,0.9409931302070618,0.005397000350058079
sgd,1,810,0.7297401428222656,0.939691424369812,0.005153629928827286
sgd,1,840,0.7215390205383301,0.9388101696968079,0.004905202891677618
sgd,1,870,0.7140992283821106,0.9382931590080261,0.004654210060834885
sgd,1,900,0.7073822021484375,0.938076913356781,0.004407649859786034
sgd,1,930,0.7013307213783264,0.93809574842453,0.004172367509454489
sgd,1,960,0.69587641954422,0.9382889270782471,0.003952783532440662
sgd,1,990,0.6909489035606384,0.9386057257652283,0.0037507149390876293
sgd,1,1020,0.6864814162254333,0.939005970954895,0.0035661214496940374
sgd,1,1050,0.6824146509170532,0.9394601583480835,0.003397929947823286
sgd,1,1080,0.6786970496177673,0.9399469494819641,0.0032446167897433043
sgd,1,1110,0.6752848625183105,0.9404518008232117,0.003104547504335642
sgd,1,1140,0.6721407175064087,0.9409648180007935,0.0029761530458927155
sgd,1,1170,0.6692333221435547,0.9414798021316528,0.002858006628230214
sgd,1,1200,0.6665360927581787,0.9419927000999451,0.002748853759840131
sgd,1,1230,0.6640264391899109,0.9425010085105896,0.0026476127095520496
sgd,1,1260,0.661685049533844,0.9430032968521118,0.0025533619336783886
sgd,1,1290,0.65949547290802,0.9434987306594849,0.002465322148054838
sgd,1,1320,0.6574431657791138,0.9439868330955505,0.00238283583894372
sgd,1,1350,0.6555157899856567,0.9444674253463745,0.002305347705259919
sgd,1,1380,0.653702437877655,0.9449403285980225,0.0022323878947645426
sgd,1,1410,0.6519931554794312,0.9454054236412048,0.0021635545417666435
sgd,1,1440,0.6503796577453613,0.9458625912666321,0.0020985030569136143
sgd,1,1470,0.6488541960716248,0.9463117718696594,0.0020369342528283596
sgd,1,1500,0.6474098563194275,0.9467529654502869,0.0019785868935287
adam,1,1,1.2667417526245117,1.1261824369430542,0.00037138693733140826
adam,1,30,1.195298433303833,1.1017073392868042,0.015412812121212482
adam,1,60,0.9634993672370911,1.014204502105713,0.021369576454162598
adam,1,90,0.8083068132400513,0.9632105827331543,0.015296091325581074
adam,1,120,0.7334044575691223,0.9504317045211792,0.010239705443382263
adam,1,150,0.6905888319015503,0.9495353102684021,0.00777369225397706
adam,1,180,0.6648179292678833,0.9515862464904785,0.006151266396045685
adam,1,210,0.6489019393920898,0.9540155529975891,0.004882397595793009
adam,1,240,0.6386383771896362,0.9563847184181213,0.0038987216539680958
adam,1,270,0.6316816210746765,0.958583652973175,0.003141030902042985
adam,1,300,0.6267304420471191,0.9605767130851746,0.002555999904870987
adam,1,330,0.6230512261390686,0.9622977375984192,0.0021060267463326454
adam,1,360,0.6202001571655273,0.9637366533279419,0.0017641936428844929
adam,1,390,0.6178910732269287,0.964923620223999,0.0015085836639627814
adam,1,420,0.6159332990646362,0.9658790826797485,0.001320150913670659
adam,1,450,0.6141953468322754,0.9666075706481934,0.0011831120355054736
adam,1,480,0.6125853657722473,0.9671141505241394,0.0010837807785719633
adam,1,510,0.6110484004020691,0.9674116373062134,0.0010085488902404904
adam,1,540,0.6095728874206543,0.9675140976905823,0.000943477323744446
adam,1,570,0.6081878542900085,0.9674378633499146,0.0008779741474427283
adam,1,600,0.6069360971450806,0.9672165513038635,0.0008091895142570138
adam,1,630,0.6058452725410461,0.9669070839881897,0.0007402769988402724
adam,1,660,0.6049181222915649,0.9665672183036804,0.0006756351212970912
adam,1,690,0.6041356325149536,0.9662372469902039,0.0006179306074045599
adam,1,720,0.6034711003303528,0.9659386277198792,0.0005674514686688781
adam,1,750,0.6029011607170105,0.9656810760498047,0.000523554568644613
adam,1,780,0.6024065613746643,0.9654701948165894,0.0004856085579376668
adam,1,810,0.6019717454910278,0.9653095602989197,0.000452856213087216
adam,1,840,0.6015847325325012,0.9651995301246643,0.0004246868775226176
adam,1,870,0.6012346744537354,0.9651381373405457,0.00040096224984154105
adam,1,900,0.6009095311164856,0.9651227593421936,0.00038143902202136815
adam,1,930,0.6006020903587341,0.9651460647583008,0.0003644271055236459
adam,1,960,0.6003169417381287,0.9651864767074585,0.00034795969258993864
adam,1,990,0.6000585556030273,0.9652241468429565,0.00033240608172491193
adam,1,1020,0.5998225212097168,0.9652636647224426,0.0003179069026373327
adam,1,1050,0.5996041893959045,0.9653143882751465,0.0003034230612684041
adam,1,1080,0.5994033217430115,0.9653779864311218,0.0002882235567085445
adam,1,1110,0.5992217659950256,0.9654536843299866,0.00027257323381491005
adam,1,1140,0.5990602374076843,0.9655408263206482,0.00025731747155077755
adam,1,1170,0.5989173650741577,0.965639591217041,0.0002431419852655381
adam,1,1200,0.59879070520401,0.9657514095306396,0.0002302382345078513
adam,1,1230,0.5986782312393188,0.9658774137496948,0.00021852018835488707
adam,1,1260,0.598578155040741,0.9660167694091797,0.00020787995890714228
adam,1,1290,0.5984894633293152,0.96616530418396,0.00019825733033940196
adam,1,1320,0.598410964012146,0.9663171768188477,0.00018960652232635766
adam,1,1350,0.598341703414917,0.966467022895813,0.00018185206863563508
adam,1,1380,0.5982804298400879,0.9666107892990112,0.00017489722813479602
adam,1,1410,0.5982261300086975,0.966745913028717,0.0001686671021161601
adam,1,1440,0.5981775522232056,0.9668710231781006,0.00016313540982082486
adam,1,1470,0.5981335639953613,0.9669864773750305,0.00015829535550437868
adam,1,1500,0.5980930328369141,0.9670935869216919,0.00015409522166009992
rpgd,1,1,1.2668359279632568,1.126183032989502,0.0002502802526578307
rpgd,1,30,1.266817331314087,1.1261829137802124,0.00025909862597472966
rpgd,1,60,1.2667946815490723,1.1261818408966064,0.00029480759985744953
rpgd,1,90,1.2667618989944458,1.1261786222457886,0.00036890478804707527
rpgd,1,120,1.2667053937911987,1.1261690855026245,0.0005029457388445735
rpgd,1,150,1.266580581665039,1.1261464357376099,0.000752969877794385
rpgd,1,180,1.2663044929504395,1.1260766983032227,0.0011545877205207944
rpgd,1,210,1.2656402587890625,1.1258975267410278,0.0018248260021209717
rpgd,1,240,1.2639966011047363,1.1253821849822998,0.00289704161696136
rpgd,1,270,1.259753704071045,1.123977541923523,0.00465931324288249
rpgd,1,300,1.249003529548645,1.1202584505081177,0.007372692693024874
rpgd,1,330,1.2231464385986328,1.1110243797302246,0.01108512468636036
rpgd,1,360,1.1722341775894165,1.0926058292388916,0.014572139829397202
rpgd,1,390,1.1000159978866577,1.066595196723938,0.01567677967250347
rpgd,1,420,1.0290603637695312,1.0414009094238281,0.014556975103914738
rpgd,1,450,0.9707679152488708,1.0205368995666504,0.012903916649520397
rpgd,1,480,0.9252431392669678,1.0037528276443481,0.011383282952010632
rpgd,1,510,0.8892303705215454,0.9902721047401428,0.010171545669436455
rpgd,1,540,0.8599718809127808,0.9790478348731995,0.009231293573975563
rpgd,1,570,0.835452139377594,0.969761848449707,0.008452282287180424
rpgd,1,600,0.8148196339607239,0.9622721076011658,0.007756011560559273
rpgd,1,630,0.7972866296768188,0.9563246965408325,0.00715295085683465
rpgd,1,660,0.7821924686431885,0.9516631960868835,0.006651885341852903
rpgd,1,690,0.7689610123634338,0.9480300545692444,0.0062470147386193275
rpgd,1,720,0.757148802280426,0.9452100396156311,0.005916349124163389
rpgd,1,750,0.7464602589607239,0.9430492520332336,0.005631379783153534
rpgd,1,780,0.7367263436317444,0.94144606590271,0.0053665610030293465
